State,Fund,Company Name,Deployment Year,Locations Obligation through Deployment Year,Locations Deployed through Deployment Year,Total Support Disbursed through Deployment Year
AK,CAF II,"ALASKA COMMUNICATIONS SYSTEMS HOLDINGS, INC.",2019,12629,11417,64013529
AK,CAF II,"ALASKA COMMUNICATIONS SYSTEMS HOLDINGS, INC.",2020,15786,15180,83707737
AK,ACAM,"ALASKA POWER & TELEPHONE, INC.",2000,,65,0
AK,ACAM,"ALASKA POWER & TELEPHONE, INC.",2001,,65,0
AK,ACAM,"ALASKA POWER & TELEPHONE, INC.",2002,,65,0
AK,ACAM,"ALASKA POWER & TELEPHONE, INC.",2003,,65,0
AK,ACAM,"ALASKA POWER & TELEPHONE, INC.",2004,,65,0
AK,ACAM,"ALASKA POWER & TELEPHONE, INC.",2005,,65,0
AK,ACAM,"ALASKA POWER & TELEPHONE, INC.",2006,,65,0
AK,ACAM,"ALASKA POWER & TELEPHONE, INC.",2007,,65,0
AK,ACAM,"ALASKA POWER & TELEPHONE, INC.",2008,,65,0
AK,ACAM,"ALASKA POWER & TELEPHONE, INC.",2009,,65,0
AK,ACAM,"ALASKA POWER & TELEPHONE, INC.",2010,,2920,0
AK,ACAM,"ALASKA POWER & TELEPHONE, INC.",2011,,4434,0
AK,ACAM,"ALASKA POWER & TELEPHONE, INC.",2012,,4439,0
AK,ACAM,"ALASKA POWER & TELEPHONE, INC.",2013,,4439,0
AK,ACAM,"ALASKA POWER & TELEPHONE, INC.",2014,,4507,0
AK,ACAM,"ALASKA POWER & TELEPHONE, INC.",2015,,4507,0
AK,ACAM,"ALASKA POWER & TELEPHONE, INC.",2016,,5442,0
AK,ACAM,"ALASKA POWER & TELEPHONE, INC.",2017,,5490,6446981.28
AK,ACAM,"ALASKA POWER & TELEPHONE, INC.",2018,,5490,13436644.56
AK,ACAM,"ALASKA POWER & TELEPHONE, INC.",2019,,5516,20948715.6
AK,ACAM,"ALASKA POWER & TELEPHONE, INC.",2020,2966,7289,28460786.64
AK,ACAM,"REMOTE CONTROL, INC.",2019,,72,1231522.08
AK,ACAM,"REMOTE CONTROL, INC.",2020,135,109,2463044.16
AK,AK Plan,"ADAK EAGLE ENTERPRISES, LLC",2017,,293,333000
AK,AK Plan,"ADAK EAGLE ENTERPRISES, LLC",2018,,296,666000
AK,AK Plan,"ADAK EAGLE ENTERPRISES, LLC",2019,,303,999000
AK,AK Plan,"ADAK EAGLE ENTERPRISES, LLC",2020,,304,1332000
AK,AK Plan,AMERICAN BROADBAND COMMUNICATIONS ET AL.,2017,,78,5391870
AK,AK Plan,AMERICAN BROADBAND COMMUNICATIONS ET AL.,2018,,1744,10783740
AK,AK Plan,AMERICAN BROADBAND COMMUNICATIONS ET AL.,2019,,4667,16175610
AK,AK Plan,AMERICAN BROADBAND COMMUNICATIONS ET AL.,2020,,4929,21567480
AL,CAF II,"CENTURYLINK, INC.",2019,39092,8979,78363162
AL,CAF II,"CENTURYLINK, INC.",2020,48865,52433,95653170
AL,CAF II,FRONTIER COMMUNICATIONS CORPORATION,2015,,1257,2397113
AL,CAF II,FRONTIER COMMUNICATIONS CORPORATION,2016,,1257,5395589
AL,CAF II,FRONTIER COMMUNICATIONS CORPORATION,2017,2951,2675,8394065
AL,CAF II,FRONTIER COMMUNICATIONS CORPORATION,2018,4426,4339,11392541
AL,CAF II,FRONTIER COMMUNICATIONS CORPORATION,2019,5901,5758,14391017
AL,CAF II,FRONTIER COMMUNICATIONS CORPORATION,2020,7376,6274,17389493
AL,CAF II,"WINDSTREAM HOLDINGS, INC.",2019,1512,3016,511032
AL,CAF II,"WINDSTREAM HOLDINGS, INC.",2020,1889,3234,1022064
AL,CAF II Auc,"TOMBIGBEE COMMUNICATIONS, LLC",2018,,21,0
AL,CAF II Auc,"TOMBIGBEE COMMUNICATIONS, LLC",2019,,34,98692.86
AL,CAF II Auc,"TOMBIGBEE COMMUNICATIONS, LLC",2020,,52,267880.62
AL,CAF-BLS,CASTLEBERRY COMMUNICATIONS,2017,,337,137082
AL,CAF-BLS,CASTLEBERRY COMMUNICATIONS,2018,,337,298800
AL,CAF-BLS,CASTLEBERRY COMMUNICATIONS,2019,,337,497790
AL,CAF-BLS,CASTLEBERRY COMMUNICATIONS,2020,,337,691956
AL,CAF-BLS,"FARMERS TELECOMMUNICATIONS COOPERATIVE, INC.",2016,,308,0
AL,CAF-BLS,"FARMERS TELECOMMUNICATIONS COOPERATIVE, INC.",2017,,492,2913636
AL,CAF-BLS,"FARMERS TELECOMMUNICATIONS COOPERATIVE, INC.",2018,,695,6438114
AL,CAF-BLS,"FARMERS TELECOMMUNICATIONS COOPERATIVE, INC.",2019,,1212,10933668
AL,CAF-BLS,"FARMERS TELECOMMUNICATIONS COOPERATIVE, INC.",2020,,1766,15339006
AL,CAF-BLS,"HAYNEVILLE HOLDING COMPANY, INC.",2019,,81,407514
AL,CAF-BLS,"HAYNEVILLE HOLDING COMPANY, INC.",2020,,145,894138
AL,CAF-BLS,MON-CRE TEL COOP,2017,,568,1126056
AL,CAF-BLS,MON-CRE TEL COOP,2018,,568,2425620
AL,CAF-BLS,MON-CRE TEL COOP,2019,,568,3926046
AL,CAF-BLS,MON-CRE TEL COOP,2020,,576,5345034
AL,CAF-BLS,"MOUNDVILLE COMMUNICATIONS, INC.",2016,,25,0
AL,CAF-BLS,"MOUNDVILLE COMMUNICATIONS, INC.",2017,,402,468636
AL,CAF-BLS,"MOUNDVILLE COMMUNICATIONS, INC.",2018,,402,934524
AL,CAF-BLS,"MOUNDVILLE COMMUNICATIONS, INC.",2019,,592,1380738
AL,CAF-BLS,"MOUNDVILLE COMMUNICATIONS, INC.",2020,,683,1826454
